Alg = 1 || N = 10000 || Time: 6781
Alg = 1 || N = 20000 || Time: 12366
Alg = 1 || N = 40000 || Time: 25492
Alg = 1 || N = 80000 || Time: 45811
Alg = 1 || N = 160000 || Time: 93259
Alg = 1 || N = 320000 || Time: 176228
Alg = 1 || N = 640000 || Time: 372160
Alg = 2 || N = 25000 || Time:  111946180
Alg = 2 || N = 50000 || Time:  445429060
Alg = 2 || N = 100000 || Time: 1778160456
Alg = 2 || N = 200000 || Time: 7114019697
